radar,datetime,height,u,v,w,ff,dd,sd_vvp,gap,eta,dens,dbz,dbz_all,n,n_dbz,n_all,n_dbz_all,rcs,sd_vvp_threshold,vcp,radar_latitude,radar_longitude,radar_height,radar_wavelength,source_file
bewid,2023-05-03T18:00:00Z,0,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,0,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,0,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,200,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,200,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,200,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,400,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,400,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,400,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,600,-5.478887557983398,0.5539644360542297,19.510574340820312,5.506821632385254,275.77349853515625,2.015044689178467,FALSE,83.6444320678711,7.604039192199707,-6.343628406524658,16.12845802307129,21934,45310,32546,67972,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,600,-5.443565845489502,0.6467018723487854,18.67915153503418,5.481845855712891,276.7750549316406,2.011262893676758,FALSE,69.68560791015625,6.335055351257324,-7.136568069458008,18.658931732177734,21094,43868,32073,68181,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,600,-5.560142517089844,0.6132664680480957,16.039119720458984,5.593861103057861,276.2940979003906,2.0625500679016113,FALSE,78.64551544189453,7.149592399597168,-6.6112589836120605,17.421043395996094,22531,47240,31446,67872,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,800,-4.377220630645752,0.791803240776062,10.088903427124023,4.448259353637695,280.2534484863281,2.1633667945861816,FALSE,23.269838333129883,2.1154398918151855,-11.900065422058105,11.900674819946289,17753,68222,19402,78454,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,800,-4.339267253875732,0.7974023222923279,10.137580871582031,4.411925792694092,280.4127502441406,2.174128770828247,FALSE,20.109289169311523,1.8281172513961792,-12.534031867980957,14.228574752807617,16901,67748,18580,78533,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
