# vol2bird Vertical Profile of Birds (VPB)
# source: RAD:KBGM,PLC:BINGHAMTON,state:NY,radar_name:KBGM
# ODIM HDF5 input: ./KBGM/2016/09/02/KBGM20160902_001626_V06
# Date   Time Heig    U      V       W   Speed Direc StdDev Gap dBZ     eta DensBird dBZAll   n   ndBZ  nAll nAlldBZ
20160902 0016    0    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0016  200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0016  400  -0.56 -13.49  -23.61 13.51 182.4   3.83 F  13.43  476.5  43.32  13.58  9318  9646 21570 22330
20160902 0016  600  -1.09 -13.50  -47.88 13.54 184.6   3.66 F  14.52  611.5  55.59  14.31 41402 42825 56426 58244
20160902 0016  800  -1.18 -13.80  -26.31 13.85 184.9   3.65 F  12.63  396.4  36.03  12.70 30809 31760 38954 40162
20160902 0016 1000  -0.36 -13.17  -14.84 13.18 181.6   3.53 F  11.64  315.5  28.68  11.69 31520 32131 34821 35523
20160902 0016 1200  -1.21 -13.24   -4.09 13.30 185.2   3.80 F   9.12  176.4  16.03   8.95 17613 18236 19886 20571
20160902 0016 1400  -1.85 -14.00    2.41 14.13 187.5   4.03 F   5.01   68.5   6.23   5.19 15913 16398 18935 19501
20160902 0016 1600  -1.98 -13.44   13.78 13.58 188.4   3.51 F   1.25   28.8   2.62   1.61  5760  5896  7698  7864
20160902 0016 1800  -1.28 -11.58   21.07 11.65 186.3   2.60 F  -2.63   11.8   1.07  -2.63  4595  4854  7535  7846
20160902 0016 2000  -0.67 -11.14   23.22 11.17 183.5   1.89 F  -6.00    5.4   0.00  -6.62  1412  1440  4283  4409
20160902 0016 2200    nan    nan     nan   nan   nan   2.23 T -10.45    2.0   0.00 -11.15   340   340  3366  3402
20160902 0016 2400    nan    nan     nan   nan   nan   2.09 T    nan    nan    nan -13.90     5     5   676   684
20160902 0016 2600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0016 2800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0016 3000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0016 3200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0016 3400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0016 3600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0016 3800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0016 4000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0016 4200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0016 4400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0016 4600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0016 4800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
# vol2bird Vertical Profile of Birds (VPB)
# source: RAD:KBGM,PLC:BINGHAMTON,state:NY,radar_name:KBGM
# ODIM HDF5 input: ./KBGM/2016/09/02/KBGM20160902_002602_V06
# Date   Time Heig    U      V       W   Speed Direc StdDev Gap dBZ     eta DensBird dBZAll   n   ndBZ  nAll nAlldBZ
20160902 0026    0    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0026  200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0026  400  -1.37 -14.59   -7.01 14.66 185.4   3.31 F  16.02  864.8  78.61  15.79 10798 10980 21824 22266
20160902 0026  600  -2.02 -14.50  -37.48 14.64 188.0   3.10 F  17.17 1125.6 102.32  17.02 41103 41842 57414 58462
20160902 0026  800  -2.50 -15.04  -20.92 15.25 189.4   3.04 F  16.39  941.9  85.63  16.41 36065 36538 40042 40579
20160902 0026 1000  -2.41 -14.36  -15.68 14.56 189.5   3.26 F  14.64  629.2  57.20  14.65 34578 35058 34898 35394
20160902 0026 1200  -2.97 -14.46   -9.45 14.76 191.6   3.59 F  11.84  330.4  30.03  11.84 19828 20335 20042 20550
20160902 0026 1400  -2.92 -14.90    4.68 15.19 191.1   3.92 F   7.67  126.4  11.49   7.69 18132 18690 18850 19439
20160902 0026 1600  -2.25 -14.10   14.71 14.28 189.1   3.69 F   3.06   43.7   3.97   3.13  7049  7225  7657  7851
20160902 0026 1800  -1.25 -12.08   23.14 12.15 185.9   3.11 F   0.02   21.7   1.97  -0.04  5336  5701  7430  7912
20160902 0026 2000  -0.65 -11.14   17.87 11.16 183.3   2.25 F  -3.95    8.7   0.79  -4.30  1397  1433  4282  4443
20160902 0026 2200    nan    nan     nan   nan   nan   2.08 T  -7.26    4.1   0.00  -8.18   351   351  3390  3450
20160902 0026 2400    nan    nan     nan   nan   nan   2.18 T    nan    nan    nan -10.49    16    16   686   698
20160902 0026 2600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0026 2800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0026 3000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0026 3200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0026 3400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0026 3600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0026 3800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0026 4000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0026 4200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0026 4400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0026 4600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0026 4800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
# vol2bird Vertical Profile of Birds (VPB)
# source: RAD:KBGM,PLC:BINGHAMTON,state:NY,radar_name:KBGM
# ODIM HDF5 input: ./KBGM/2016/09/02/KBGM20160902_003539_V06
# Date   Time Heig    U      V       W   Speed Direc StdDev Gap dBZ     eta DensBird dBZAll   n   ndBZ  nAll nAlldBZ
20160902 0035    0    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0035  200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0035  400  -1.77 -14.71   31.74 14.82 186.8   3.25 F  16.72 1015.7  92.34  16.46  6506  6588 22040 22404
20160902 0035  600  -2.04 -14.31  -68.69 14.46 188.1   2.94 F  18.09 1392.3 126.58  17.91 40823 41360 57556 58400
20160902 0035  800  -2.24 -14.86  -22.87 15.02 188.6   2.92 F  18.05 1379.5 125.41  18.05 33939 34205 40240 40592
20160902 0035 1000  -2.86 -14.90  -16.20 15.17 190.9   2.96 F  16.62  992.8  90.25  16.65 34689 35099 35086 35502
20160902 0035 1200  -3.75 -14.80  -15.08 15.26 194.2   3.17 F  13.92  532.7  48.43  13.92 20177 20577 20177 20577
20160902 0035 1400  -3.88 -14.63   -5.25 15.14 194.9   3.47 F  10.17  225.0  20.46  10.17 19032 19520 19099 19589
20160902 0035 1600  -2.90 -14.03    5.83 14.33 191.7   3.66 F   5.64   79.3   7.20   5.62  7425  7668  7602  7854
20160902 0035 1800  -1.74 -11.85   17.16 11.97 188.4   3.31 F   1.12   28.0   2.54   1.04  5987  6432  7300  7781
20160902 0035 2000  -0.22 -11.70   20.80 11.70 181.1   2.58 F  -2.26   12.8   1.17  -2.59  2520  2644  4297  4453
20160902 0035 2200   1.32 -11.27   22.72 11.35 173.3   2.53 F  -5.22    6.5   0.59  -6.36   784   800  3294  3396
20160902 0035 2400    nan    nan     nan   nan   nan   2.60 T  -4.79    7.2   0.00  -8.46    54    54   664   686
20160902 0035 2600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0035 2800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0035 3000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0035 3200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0035 3400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0035 3600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0035 3800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0035 4000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0035 4200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0035 4400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0035 4600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0035 4800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
# vol2bird Vertical Profile of Birds (VPB)
# source: RAD:KBGM,PLC:BINGHAMTON,state:NY,radar_name:KBGM
# ODIM HDF5 input: ./KBGM/2016/09/02/KBGM20160902_004516_V06
# Date   Time Heig    U      V       W   Speed Direc StdDev Gap dBZ     eta DensBird dBZAll   n   ndBZ  nAll nAlldBZ
20160902 0045    0    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0045  200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0045  400  -1.77 -13.43  -61.65 13.55 187.5   3.03 F  18.07 1387.0 126.09  17.79  8876  8977 22110 22356
20160902 0045  600  -1.80 -13.88  -74.11 14.00 187.4   2.80 F  19.05 1737.9 157.99  19.05 41548 41949 57870 58522
20160902 0045  800  -2.42 -14.57  -18.45 14.77 189.4   2.76 F  19.23 1809.2 164.47  19.31 36071 36283 40201 40440
20160902 0045 1000  -3.06 -14.70  -22.37 15.01 191.8   2.82 F  17.75 1288.0 117.09  17.77 34846 35182 35082 35423
20160902 0045 1200  -4.37 -15.02  -19.85 15.64 196.2   2.89 F  15.48  763.4  69.40  15.48 20353 20678 20353 20678
20160902 0045 1400  -4.92 -14.54   -9.47 15.35 198.7   3.16 F  11.84  329.9  29.99  11.79 18315 18980 18892 19565
20160902 0045 1600  -3.53 -14.06    5.37 14.50 194.1   3.77 F   7.55  123.0  11.18   7.54  7552  7842  7626  7919
20160902 0045 1800  -2.36 -11.89   15.36 12.12 191.2   3.61 F   2.90   42.1   3.83   2.85  6857  7288  7423  7870
20160902 0045 2000  -0.63 -11.84   22.55 11.85 183.1   2.90 F  -1.15   16.6   1.51  -1.47  2355  2467  4265  4447
20160902 0045 2200    nan    nan     nan   nan   nan   2.70 T  -2.33   12.7   0.00  -5.64   441   441  3312  3448
20160902 0045 2400    nan    nan     nan   nan   nan   2.59 T  -3.56    9.5   0.00  -8.68    29    29   656   680
20160902 0045 2600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0045 2800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0045 3000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0045 3200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0045 3400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0045 3600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0045 3800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0045 4000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0045 4200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0045 4400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0045 4600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0045 4800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
# vol2bird Vertical Profile of Birds (VPB)
# source: RAD:KBGM,PLC:BINGHAMTON,state:NY,radar_name:KBGM
# ODIM HDF5 input: ./KBGM/2016/09/02/KBGM20160902_005452_V06
# Date   Time Heig    U      V       W   Speed Direc StdDev Gap dBZ     eta DensBird dBZAll   n   ndBZ  nAll nAlldBZ
20160902 0054    0    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0054  200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0054  400  -1.49 -13.66  -77.68 13.74 186.2   2.91 F  18.83 1652.1 150.19  18.60  6877  6929 22116 22344
20160902 0054  600  -2.07 -13.84  -68.12 13.99 188.5   2.72 F  19.35 1859.5 169.04  19.51 43597 43927 58094 58552
20160902 0054  800  -2.67 -14.68  -20.61 14.92 190.3   2.68 F  19.75 2039.5 185.41  19.97 35875 36077 40323 40551
20160902 0054 1000  -3.48 -14.91  -23.64 15.31 193.1   2.76 F  18.15 1410.1 128.19  18.17 34407 34701 35110 35405
20160902 0054 1200  -5.09 -15.06  -19.98 15.90 198.7   2.81 F  16.24  909.1  82.65  16.24 20400 20817 20400 20817
20160902 0054 1400  -5.44 -14.50  -13.39 15.49 200.6   3.14 F  12.25  363.2  33.02  12.25 18922 19439 18922 19439
20160902 0054 1600  -4.75 -13.78    3.87 14.58 199.0   3.53 F   7.99  136.0  12.36   7.93  7483  7780  7593  7898
